Tanggal,Waktu,Latitude,Longitude,Heading,Kecepatan (knot)
15/03/2022,17:27,-4.5874,130.0671,107,6.898550725
15/03/2022,17:28,-4.5876,130.0677,134,6.898550725
15/03/2022,17:29,-4.588,130.0682,163,6.898550725
15/03/2022,17:30,-4.5885,130.0683,168,6.898550725
15/03/2022,17:31,-4.5891,130.0685,171,6.898550725
15/03/2022,17:32,-4.5897,130.0685,173,6.898550725
15/03/2022,17:33,-4.5903,130.0686,178,6.898550725
15/03/2022,17:34,-4.5909,130.0686,179,6.797101449
15/03/2022,17:35,-4.5914,130.0686,180,6.797101449
15/03/2022,17:36,-4.5921,130.0686,180,6.797101449
15/03/2022,17:37,-4.5926,130.0686,180,6.797101449
15/03/2022,17:38,-4.5932,130.0686,180,6.695652174
15/03/2022,17:39,-4.5938,130.0686,180,6.695652174
15/03/2022,17:40,-4.5944,130.0686,180,6.695652174
15/03/2022,17:41,-4.595,130.0686,180,6.695652174
15/03/2022,17:42,-4.5956,130.0686,180,6.695652174
15/03/2022,17:43,-4.5962,130.0686,180,6.695652174
15/03/2022,17:44,-4.5968,130.0686,180,6.695652174
15/03/2022,17:45,-4.5974,130.0686,180,6.695652174
15/03/2022,17:46,-4.5979,130.0686,180,6.695652174
15/03/2022,17:47,-4.5985,130.0686,180,6.695652174
15/03/2022,17:48,-4.5991,130.0686,180,6.594202899
15/03/2022,17:49,-4.5997,130.0686,180,6.594202899
15/03/2022,17:50,-4.6002,130.0686,180,6.594202899
15/03/2022,17:51,-4.6008,130.0686,180,6.594202899
15/03/2022,17:52,-4.6014,130.0686,180,6.594202899
15/03/2022,17:53,-4.602,130.0686,180,6.594202899
15/03/2022,17:54,-4.6026,130.0686,180,6.594202899
15/03/2022,17:55,-4.6031,130.0686,180,6.594202899
15/03/2022,17:56,-4.6038,130.0686,180,6.594202899
15/03/2022,17:57,-4.6044,130.0686,180,6.594202899
15/03/2022,17:58,-4.6049,130.0686,180,6.594202899
15/03/2022,17:59,-4.6055,130.0686,180,6.594202899
15/03/2022,18:00,-4.6061,130.0686,180,6.594202899
15/03/2022,18:01,-4.6067,130.0686,180,6.594202899
15/03/2022,18:02,-4.6073,130.0686,180,6.594202899
15/03/2022,18:03,-4.6079,130.0686,180,6.594202899
15/03/2022,18:04,-4.6084,130.0686,180,6.594202899
15/03/2022,18:05,-4.609,130.0686,180,6.594202899
15/03/2022,18:06,-4.6096,130.0686,180,6.594202899
15/03/2022,18:07,-4.6102,130.0686,180,6.492753623
15/03/2022,18:08,-4.6108,130.0686,180,6.492753623
15/03/2022,18:09,-4.6114,130.0686,180,6.492753623
15/03/2022,18:10,-4.6119,130.0686,180,6.492753623
15/03/2022,18:11,-4.6125,130.0686,180,6.391304348
15/03/2022,18:12,-4.6131,130.0686,180,6.391304348
15/03/2022,18:13,-4.6137,130.0686,180,6.391304348
15/03/2022,18:14,-4.6143,130.0686,180,6.391304348
15/03/2022,18:15,-4.6149,130.0686,180,6.391304348
15/03/2022,18:16,-4.6155,130.0686,180,6.391304348
15/03/2022,18:17,-4.616,130.0686,180,6.391304348
15/03/2022,18:18,-4.6166,130.0686,180,6.391304348
15/03/2022,18:19,-4.6172,130.0686,180,6.391304348
15/03/2022,18:20,-4.6178,130.0686,180,6.289855072
15/03/2022,18:21,-4.6183,130.0686,180,6.289855072
15/03/2022,18:22,-4.6189,130.0686,180,6.289855072
15/03/2022,18:23,-4.6195,130.0686,180,6.289855072
15/03/2022,18:24,-4.6201,130.0686,180,6.289855072
15/03/2022,18:25,-4.6207,130.0686,180,6.289855072
