No,Tanggal,Pukul,Latitude (?),Longitude(?),Heading(?),Kecepatan K1(knots)
1,14/5/2023,19:00,1.80460,119.97340,61,5
2,14/5/2023,19:06,1.80857,119.98073,61,5
3,14/5/2023,19:12,1.81254,119.98805,61,5
4,14/5/2023,19:18,1.81651,119.99538,61,5
5,14/5/2023,19:24,1.82048,120.00270,61,5
6,14/5/2023,19:30,1.82445,120.01003,61,5
7,14/5/2023,19:36,1.82842,120.01736,61,5
8,14/5/2023,19:42,1.83239,120.02468,61,5
9,14/5/2023,19:48,1.83636,120.03201,61,5
10,14/5/2023,19:54,1.84032,120.03933,61,5
11,14/5/2023,20:00,1.84429,120.04666,61,5
12,14/5/2023,20:06,1.84826,120.05398,61,5
13,14/5/2023,20:12,1.85223,120.06131,61,5
14,14/5/2023,20:18,1.85620,120.06864,61,5
15,14/5/2023,20:24,1.86017,120.07596,61,5
16,14/5/2023,20:30,1.86414,120.08329,61,5
17,14/5/2023,20:36,1.86811,120.09061,61,5
18,14/5/2023,20:42,1.87208,120.09794,61,5
19,14/5/2023,20:48,1.87605,120.10527,61,5
20,14/5/2023,20:54,1.88002,120.11259,61,5
21,14/5/2023,21:00,1.88399,120.11992,61,5
22,14/5/2023,21:06,1.88796,120.12724,61,5
23,14/5/2023,21:12,1.89193,120.13457,61,5
24,14/5/2023,21:18,1.89590,120.14190,61,5
25,14/5/2023,21:24,1.89987,120.14922,61,5
26,14/5/2023,21:30,1.90384,120.15655,61,5
27,14/5/2023,21:36,1.90780,120.16387,61,5
28,14/5/2023,21:42,1.91177,120.17120,61,5
29,14/5/2023,21:48,1.91574,120.17852,61,5
30,14/5/2023,21:54,1.91971,120.18585,61,5
31,14/5/2023,22:00,1.92368,120.19318,61,5
32,14/5/2023,22:06,1.92765,120.20050,61,5
33,14/5/2023,22:12,1.93162,120.20783,61,5
34,14/5/2023,22:18,1.93559,120.21515,61,5
35,14/5/2023,22:24,1.93956,120.22248,61,5
36,14/5/2023,22:30,1.94353,120.22981,61,5
37,14/5/2023,22:36,1.94750,120.23713,61,5
38,14/5/2023,22:42,1.95147,120.24446,61,5
39,14/5/2023,22:48,1.95544,120.25178,61,5
40,14/5/2023,22:54,1.95941,120.25911,61,5
41,14/5/2023,23:00,1.96338,120.26644,61,5
42,14/5/2023,23:06,1.96735,120.27376,61,5
43,14/5/2023,23:12,1.97131,120.28109,61,5
44,14/5/2023,23:18,1.97528,120.28841,61,5
45,14/5/2023,23:24,1.97925,120.29574,61,5
46,14/5/2023,23:30,1.98322,120.30306,61,5
47,14/5/2023,23:36,1.98719,120.31039,61,5
48,14/5/2023,23:42,1.99116,120.31772,61,5
49,14/5/2023,23:48,1.99513,120.32504,61,5
50,14/5/2023,23:54,1.99910,120.33237,61,5
51,15/5/2023,0:00,2.00307,120.33969,61,5
52,15/5/2023,0:06,2.00704,120.34702,61,5
53,15/5/2023,0:12,2.01101,120.35435,61,5
54,15/5/2023,0:18,2.01498,120.36167,61,5
55,15/5/2023,0:24,2.01895,120.36900,61,5
56,15/5/2023,0:30,2.02292,120.37632,61,5
57,15/5/2023,0:36,2.02689,120.38365,61,5
58,15/5/2023,0:42,2.03086,120.39098,61,5
59,15/5/2023,0:48,2.03483,120.39830,61,5
60,15/5/2023,0:54,2.03879,120.40563,61,5
61,15/5/2023,1:00,2.04276,120.41295,61,5
62,15/5/2023,1:06,2.04673,120.42028,61,5
63,15/5/2023,1:12,2.05070,120.42760,61,5
64,15/5/2023,1:18,2.05467,120.43493,61,5
65,15/5/2023,1:24,2.05864,120.44226,61,5
66,15/5/2023,1:30,2.06261,120.44958,61,5
67,15/5/2023,1:36,2.06658,120.45691,61,5
68,15/5/2023,1:42,2.07055,120.46423,61,5
69,15/5/2023,1:48,2.07452,120.47156,61,5
70,15/5/2023,1:54,2.07849,120.47889,61,5
71,15/5/2023,2:00,2.08246,120.48621,61,5
72,15/5/2023,2:06,2.08643,120.49354,61,5
73,15/5/2023,2:12,2.09040,120.50086,61,5
74,15/5/2023,2:18,2.09437,120.50819,61,5
75,15/5/2023,2:24,2.09834,120.51552,61,5
76,15/5/2023,2:30,2.10230,120.52284,61,5
77,15/5/2023,2:36,2.10627,120.53017,61,5
78,15/5/2023,2:42,2.11024,120.53749,61,5
79,15/5/2023,2:48,2.11421,120.54482,61,5
80,15/5/2023,2:54,2.11818,120.55214,61,5
81,15/5/2023,3:00,2.12215,120.55947,61,5
82,15/5/2023,3:06,2.12612,120.56680,61,5
83,15/5/2023,3:12,2.13009,120.57412,61,5
84,15/5/2023,3:18,2.13406,120.58145,61,5
85,15/5/2023,3:24,2.13803,120.58877,61,5
86,15/5/2023,3:30,2.14200,120.59610,61,5
87,15/5/2023,3:36,2.14597,120.60343,61,5
88,15/5/2023,3:42,2.14994,120.61075,61,5
89,15/5/2023,3:48,2.15391,120.61808,61,5
90,15/5/2023,3:54,2.15788,120.62540,61,5
91,15/5/2023,4:00,2.16185,120.63273,61,5
92,15/5/2023,4:06,2.16582,120.64006,61,5
93,15/5/2023,4:12,2.16978,120.64738,61,5
94,15/5/2023,4:18,2.17375,120.65471,61,5
95,15/5/2023,4:24,2.17772,120.66203,61,5
96,15/5/2023,4:30,2.18169,120.66936,61,5
97,15/5/2023,4:36,2.18566,120.67668,61,5
98,15/5/2023,4:42,2.18963,120.68401,61,5
99,15/5/2023,4:48,2.19360,120.69134,61,5
100,15/5/2023,4:54,2.19757,120.69866,61,5
101,15/5/2023,5:00,2.20154,120.70599,61,5
102,15/5/2023,5:06,2.20551,120.71331,61,5
103,15/5/2023,5:12,2.20948,120.72064,61,5
104,15/5/2023,5:18,2.21345,120.72797,61,5
105,15/5/2023,5:24,2.21742,120.73529,61,5
106,15/5/2023,5:30,2.22139,120.74262,61,5
107,15/5/2023,5:36,2.22536,120.74994,61,5
108,15/5/2023,5:42,2.22933,120.75727,61,5
109,15/5/2023,5:48,2.23330,120.76460,61,5
110,15/5/2023,5:54,2.23726,120.77192,61,5
111,15/5/2023,6:00,2.24123,120.77925,61,5
112,15/5/2023,6:06,2.24520,120.78657,61,5
113,15/5/2023,6:12,2.24917,120.79390,61,5
114,15/5/2023,6:18,2.25314,120.80122,61,5
115,15/5/2023,6:24,2.25711,120.80855,61,5
116,15/5/2023,6:30,2.26108,120.81588,61,5
117,15/5/2023,6:36,2.26505,120.82320,61,5
118,15/5/2023,6:42,2.26902,120.83053,61,5
119,15/5/2023,6:48,2.27299,120.83785,61,5
120,15/5/2023,6:54,2.27696,120.84518,61,5
121,15/5/2023,7:00,2.28093,120.85251,61,5
122,15/5/2023,7:06,2.28490,120.85983,61,5
123,15/5/2023,7:12,2.28887,120.86716,61,5
124,15/5/2023,7:18,2.29284,120.87448,61,5
125,15/5/2023,7:24,2.29681,120.88181,61,5
126,15/5/2023,7:30,2.30077,120.88914,61,5
127,15/5/2023,7:36,2.30474,120.89646,61,5
128,15/5/2023,7:42,2.30871,120.90379,61,5
129,15/5/2023,7:48,2.31268,120.91111,61,5
130,15/5/2023,7:54,2.31665,120.91844,61,5
131,15/5/2023,8:00,2.32062,120.92576,61,5
132,15/5/2023,8:06,2.32459,120.93309,61,5
133,15/5/2023,8:12,2.32856,120.94042,61,5
134,15/5/2023,8:18,2.33253,120.94774,61,5
135,15/5/2023,8:24,2.33650,120.95507,61,5
136,15/5/2023,8:30,2.34047,120.96239,61,5
137,15/5/2023,8:36,2.34444,120.96972,61,5
138,15/5/2023,8:42,2.34841,120.97705,61,5
139,15/5/2023,8:48,2.35238,120.98437,61,5
140,15/5/2023,8:54,2.35635,120.99170,61,5
141,15/5/2023,9:00,2.36032,120.99902,61,5
142,15/5/2023,9:06,2.36429,121.00635,61,5
143,15/5/2023,9:12,2.36825,121.01367,61,5
144,15/5/2023,9:18,2.37222,121.02100,61,5
145,15/5/2023,9:24,2.37619,121.02833,61,5
