No,Tanggal,Pukul,Latitude (?),Longitude(?),Heading(?),Kecepatan K1(knots),,
1,14/5/2023,19:00,-0.9777,118.1897,39,11.1,,
2,14/5/2023,19:06,-0.96166,118.19856,39,11.1,,
3,14/5/2023,19:12,-0.94563,118.20741,39,11.1,,
4,14/5/2023,19:18,-0.92959,118.21627,39,11.1,,
5,14/5/2023,19:24,-0.91356,118.22513,39,11.1,,
6,14/5/2023,19:30,-0.89752,118.23399,39,11.1,,
7,14/5/2023,19:36,-0.88149,118.24284,39,11.1,,
8,14/5/2023,19:42,-0.86545,118.2517,39,11.1,,
9,14/5/2023,19:48,-0.84941,118.26056,39,11.1,,
10,14/5/2023,19:54,-0.83338,118.26941,39,11.1,,
11,14/5/2023,20:00,-0.81734,118.27827,39,11.1,,
12,14/5/2023,20:06,-0.80131,118.28713,39,11.1,,
13,14/5/2023,20:12,-0.78527,118.29598,39,11.1,,
14,14/5/2023,20:18,-0.76924,118.30484,39,11.1,,
15,14/5/2023,20:24,-0.7532,118.3137,39,11.1,,
16,14/5/2023,20:30,-0.73717,118.32256,39,11.1,,
17,14/5/2023,20:36,-0.72113,118.33141,39,11.1,,
18,14/5/2023,20:42,-0.70509,118.34027,39,11.1,,
19,14/5/2023,20:48,-0.68906,118.34913,39,11.1,,
20,14/5/2023,20:54,-0.67302,118.35798,39,11.1,,
21,14/5/2023,21:00,-0.65699,118.36684,39,11.1,,
22,14/5/2023,21:06,-0.64095,118.3757,39,11.1,,
23,14/5/2023,21:12,-0.62492,118.38455,39,11.1,,
24,14/5/2023,21:18,-0.60888,118.39341,39,11.1,,
25,14/5/2023,21:24,-0.59284,118.40227,39,11.1,,
26,14/5/2023,21:30,-0.57681,118.41113,39,11.1,,
27,14/5/2023,21:36,-0.56077,118.41998,39,11.1,,
28,14/5/2023,21:42,-0.54474,118.42884,39,11.1,,
29,14/5/2023,21:48,-0.5287,118.4377,39,11.1,,
30,14/5/2023,21:54,-0.51267,118.44655,39,11.1,,
31,14/5/2023,22:00,-0.49663,118.45541,39,11.1,,
32,14/5/2023,22:06,-0.48059,118.46427,39,11.1,,
33,14/5/2023,22:12,-0.46456,118.47312,39,11.1,,
34,14/5/2023,22:18,-0.44852,118.48198,39,11.1,,
35,14/5/2023,22:24,-0.43249,118.49084,39,11.1,,
36,14/5/2023,22:30,-0.41645,118.4997,39,11.1,,
37,14/5/2023,22:36,-0.40042,118.50855,39,11.1,,
38,14/5/2023,22:42,-0.38438,118.51741,39,11.1,,
39,14/5/2023,22:48,-0.36834,118.52627,39,11.1,,
40,14/5/2023,22:54,-0.35231,118.53512,39,11.1,,
41,14/5/2023,23:00,-0.33627,118.54398,39,11.1,,
42,14/5/2023,23:06,-0.32024,118.55284,39,11.1,,
43,14/5/2023,23:12,-0.3042,118.56169,39,11.1,,
44,14/5/2023,23:18,-0.28817,118.57055,39,11.1,,
45,14/5/2023,23:24,-0.27213,118.57941,39,11.1,,
46,14/5/2023,23:30,-0.2561,118.58827,39,11.1,,
47,14/5/2023,23:36,-0.24006,118.59712,39,11.1,,
48,14/5/2023,23:42,-0.22402,118.60598,39,11.1,,
49,14/5/2023,23:48,-0.20799,118.61484,39,11.1,,
50,14/5/2023,23:54,-0.19195,118.62369,39,11.1,,
