No,Tanggal,Pukul,Latitude ,Longitude,Heading,Kecepatan K1(knots)
1,14/5/2023,19:00,-2.1478,118.4655,18,11.1
2,14/5/2023,19:06,-2.1311,118.4711,18,11.1
3,14/5/2023,19:12,-2.1311,118.4711,18,11.1
4,14/5/2023,19:18,-2.1311,118.4711,18,11.1
5,14/5/2023,19:24,-2.1311,118.4711,18,11.1
6,14/5/2023,19:30,-2.1311,118.4711,18,11.1
7,14/5/2023,19:36,-2.1311,118.4711,18,11.1
8,14/5/2023,19:42,-2.1311,118.4711,18,11.1
9,14/5/2023,19:48,-2.1311,118.4711,18,11.1
10,14/5/2023,19:54,-2.1311,118.4711,18,11.1
11,14/5/2023,20:00,-2.1311,118.4711,18,11.1
12,14/5/2023,20:06,-2.1311,118.4711,18,11.1
13,14/5/2023,20:12,-2.1311,118.4711,18,11.1
14,14/5/2023,20:18,-2.1311,118.4711,18,11.1
15,14/5/2023,20:24,-2.1311,118.4711,18,11.1
16,14/5/2023,20:30,-2.1311,118.4711,18,11.1
17,14/5/2023,20:36,-2.1311,118.4711,18,11.1
18,14/5/2023,20:42,-2.1311,118.4711,18,11.1
19,14/5/2023,20:48,-2.1311,118.4711,18,11.1
20,14/5/2023,20:54,-2.1311,118.4711,18,11.1
21,14/5/2023,21:00,-2.1311,118.4711,18,11.1
22,14/5/2023,21:06,-2.1311,118.4711,18,11.1
23,14/5/2023,21:12,-2.1311,118.4711,18,11.1
24,14/5/2023,21:18,-2.1311,118.4711,18,11.1
25,14/5/2023,21:24,-2.1311,118.4711,18,11.1
26,14/5/2023,21:30,-2.1311,118.4711,18,11.1
27,14/5/2023,21:36,-2.1311,118.4711,18,11.1
28,14/5/2023,21:42,-2.1311,118.4711,18,11.1
29,14/5/2023,21:48,-2.1311,118.4711,18,11.1
30,14/5/2023,21:54,-2.1311,118.4711,18,11.1
31,14/5/2023,22:00,-2.1311,118.4711,18,11.1
32,14/5/2023,22:06,-2.1311,118.4711,18,11.1
33,14/5/2023,22:12,-2.1311,118.4711,18,11.1
34,14/5/2023,22:18,-2.1311,118.4711,18,11.1
35,14/5/2023,22:24,-2.1311,118.4711,18,11.1
36,14/5/2023,22:30,-2.1311,118.4711,18,11.1
37,14/5/2023,22:36,-2.1311,118.4711,18,11.1
38,14/5/2023,22:42,-2.1311,118.4711,18,11.1
39,14/5/2023,22:48,-2.1311,118.4711,18,11.1
40,14/5/2023,22:54,-2.1311,118.4711,18,11.1
41,14/5/2023,23:00,-2.1311,118.4711,18,11.1
42,14/5/2023,23:06,-2.1311,118.4711,18,11.1
43,14/5/2023,23:12,-2.1311,118.4711,18,11.1
44,14/5/2023,23:18,-2.1311,118.4711,18,11.1
45,14/5/2023,23:24,-2.1311,118.4711,18,11.1
46,14/5/2023,23:30,-2.1311,118.4711,18,11.1
47,14/5/2023,23:36,-2.1311,118.4711,18,11.1
48,14/5/2023,23:42,-2.1311,118.4711,18,11.1
49,14/5/2023,23:48,-2.1311,118.4711,18,11.1
50,14/5/2023,23:54,-2.1311,118.4711,18,11.1
51,15/5/2023,0:00,-2.1311,118.4711,18,11.1
52,15/5/2023,0:06,-2.1311,118.4711,18,11.1
53,15/5/2023,0:12,-2.1311,118.4711,18,11.1
54,15/5/2023,0:18,-2.1311,118.4711,18,11.1
55,15/5/2023,0:24,-2.1311,118.4711,18,11.1
56,15/5/2023,0:30,-2.1311,118.4711,18,11.1
57,15/5/2023,0:36,-2.1311,118.4711,18,11.1
58,15/5/2023,0:42,-2.1311,118.4711,18,11.1
59,15/5/2023,0:48,-2.1311,118.4711,18,11.1
60,15/5/2023,0:54,-2.1311,118.4711,18,11.1
61,15/5/2023,1:00,-2.1311,118.4711,18,11.1
62,15/5/2023,1:06,-2.1311,118.4711,18,11.1
63,15/5/2023,1:12,-2.1311,118.4711,18,11.1
64,15/5/2023,1:18,-2.1311,118.4711,18,11.1
65,15/5/2023,1:24,-2.1311,118.4711,18,11.1
66,15/5/2023,1:30,-2.1311,118.4711,18,11.1
67,15/5/2023,1:36,-2.1311,118.4711,18,11.1
68,15/5/2023,1:42,-2.1311,118.4711,18,11.1
69,15/5/2023,1:48,-2.1311,118.4711,18,11.1
70,15/5/2023,1:54,-2.1311,118.4711,18,11.1
71,15/5/2023,2:00,-2.1311,118.4711,18,11.1
72,15/5/2023,2:06,-2.1311,118.4711,18,11.1
73,15/5/2023,2:12,-2.1311,118.4711,18,11.1
74,15/5/2023,2:18,-2.1311,118.4711,18,11.1
75,15/5/2023,2:24,-2.1311,118.4711,18,11.1
76,15/5/2023,2:30,-2.1311,118.4711,18,11.1
77,15/5/2023,2:36,-2.1311,118.4711,18,11.1
78,15/5/2023,2:42,-2.1311,118.4711,18,11.1
79,15/5/2023,2:48,-2.1311,118.4711,18,11.1
80,15/5/2023,2:54,-2.1311,118.4711,18,11.1
81,15/5/2023,3:00,-2.1311,118.4711,18,11.1
82,15/5/2023,3:06,-2.1311,118.4711,18,11.1
83,15/5/2023,3:12,-2.1311,118.4711,18,11.1
84,15/5/2023,3:18,-2.1311,118.4711,18,11.1
85,15/5/2023,3:24,-2.1311,118.4711,18,11.1
86,15/5/2023,3:30,-2.1311,118.4711,18,11.1
87,15/5/2023,3:36,-2.1311,118.4711,18,11.1
88,15/5/2023,3:42,-2.1311,118.4711,18,11.1
89,15/5/2023,3:48,-2.1311,118.4711,18,11.1
90,15/5/2023,3:54,-2.1311,118.4711,18,11.1
91,15/5/2023,4:00,-2.1311,118.4711,18,11.1
92,15/5/2023,4:06,-2.1311,118.4711,18,11.1
93,15/5/2023,4:12,-2.1311,118.4711,18,11.1
94,15/5/2023,4:18,-2.1311,118.4711,18,11.1
95,15/5/2023,4:24,-2.1311,118.4711,18,11.1
96,15/5/2023,4:30,-2.1311,118.4711,18,11.1
97,15/5/2023,4:36,-2.1311,118.4711,18,11.1
98,15/5/2023,4:42,-2.1311,118.4711,18,11.1
99,15/5/2023,4:48,-2.1311,118.4711,18,11.1
100,15/5/2023,4:54,-2.1311,118.4711,18,11.1
101,15/5/2023,5:00,-2.1311,118.4711,18,11.1
102,15/5/2023,5:06,-2.1311,118.4711,18,11.1
103,15/5/2023,5:12,-2.1311,118.4711,18,11.1
104,15/5/2023,5:18,-2.1311,118.4711,18,11.1
105,15/5/2023,5:24,-2.1311,118.4711,18,11.1
106,15/5/2023,5:30,-2.1311,118.4711,18,11.1
107,15/5/2023,5:36,-2.1311,118.4711,18,11.1
108,15/5/2023,5:42,-2.1311,118.4711,18,11.1
109,15/5/2023,5:48,-2.1311,118.4711,18,11.1
110,15/5/2023,5:54,-2.1311,118.4711,18,11.1
111,15/5/2023,6:00,-2.1311,118.4711,18,11.1
112,15/5/2023,6:06,-2.1311,118.4711,18,11.1
113,15/5/2023,6:12,-2.1311,118.4711,18,11.1
