No,Tanggal,Pukul,Latitude ,Longitude,Heading,Kecepatan K1(knots)
1,14/5/2023,19:00,-0.9777,118.1897,39,11.1
2,14/5/2023,19:06,-0.961664333,118.198557,39,11.1
3,14/5/2023,19:12,-0.945628667,118.207414,39,11.1
4,14/5/2023,19:18,-0.929593,118.216271,39,11.1
328,16/5/2023,3:42,3.841527,121.3196765,90,11.1
329,16/5/2023,3:48,3.841528,121.336846,90,11.1
330,16/5/2023,3:54,3.841529,121.3540155,90,11.1
331,16/5/2023,4:00,3.84153,121.371185,90,11.1
332,16/5/2023,4:06,3.841531,121.3883545,90,11.1
333,16/5/2023,4:12,3.841532,121.405524,90,11.1
334,16/5/2023,4:18,3.841533,121.4226935,90,11.1
335,16/5/2023,4:24,3.841534,121.439863,90,11.1
336,16/5/2023,4:30,3.841535,121.4570325,90,11.1
337,16/5/2023,4:36,3.841536,121.474202,90,11.1
338,16/5/2023,4:42,3.841537,121.4913715,90,11.1
339,16/5/2023,4:48,3.841538,121.508541,90,11.1
340,16/5/2023,4:54,3.841539,121.5257105,90,11.1
341,16/5/2023,5:00,3.84154,121.54288,90,11.1
342,16/5/2023,5:06,3.841541,121.5600495,90,11.1
343,16/5/2023,5:12,3.841542,121.577219,90,11.1
344,16/5/2023,5:18,3.841543,121.5943885,90,11.1
345,16/5/2023,5:24,3.841544,121.611558,90,11.1
346,16/5/2023,5:30,3.841545,121.6287275,90,11.1
347,16/5/2023,5:36,3.841546,121.645897,90,11.1
348,16/5/2023,5:42,3.841547,121.6630665,90,11.1
349,16/5/2023,5:48,3.841548,121.680236,90,11.1
350,16/5/2023,5:54,3.841549,121.6974055,90,11.1
351,16/5/2023,6:00,3.84155,121.714575,90,11.1
352,16/5/2023,6:06,3.841551,121.7317445,90,11.1
353,16/5/2023,6:12,3.841552,121.748914,90,11.1
354,16/5/2023,6:18,3.841553,121.7660835,90,11.1
355,16/5/2023,6:24,3.841554,121.783253,90,11.1
356,16/5/2023,6:30,3.841555,121.8004225,90,11.1
357,16/5/2023,6:36,3.841556,121.817592,90,11.1
358,16/5/2023,6:42,3.841557,121.8347615,90,11.1
359,16/5/2023,6:48,3.841558,121.851931,90,11.1
360,16/5/2023,6:54,3.841559,121.8691005,90,11.1
361,16/5/2023,7:00,3.84156,121.88627,90,11.1
362,16/5/2023,7:06,3.841561,121.9034395,90,11.1
363,16/5/2023,7:12,3.841562,121.920609,90,11.1
364,16/5/2023,7:18,3.841563,121.9377785,90,11.1
365,16/5/2023,7:24,3.841564,121.954948,90,11.1
366,16/5/2023,7:30,3.841565,121.9721175,90,11.1
367,16/5/2023,7:36,3.841566,121.989287,90,11.1
368,16/5/2023,7:42,3.841567,122.0064565,90,11.1
369,16/5/2023,7:48,3.841568,122.023626,90,11.1
370,16/5/2023,7:54,3.841569,122.0407955,90,11.1
371,16/5/2023,8:00,3.84157,122.057965,90,11.1
372,16/5/2023,8:06,3.841571,122.0751345,90,11.1
373,16/5/2023,8:12,3.841572,122.092304,90,11.1
374,16/5/2023,8:18,3.841573,122.1094735,90,11.1
375,16/5/2023,8:24,3.841574,122.126643,90,11.1
376,16/5/2023,8:30,3.841575,122.1438125,90,11.1
377,16/5/2023,8:36,3.841576,122.160982,90,11.1
378,16/5/2023,8:42,3.841577,122.1781515,90,11.1
379,16/5/2023,8:48,3.841578,122.195321,90,11.1
380,16/5/2023,8:54,3.841579,122.2124905,90,11.1
381,16/5/2023,9:00,3.84158,122.22966,90,11.1
382,16/5/2023,9:06,3.841581,122.2468295,90,11.1
383,16/5/2023,9:12,3.841582,122.263999,90,11.1
384,16/5/2023,9:18,3.841583,122.2811685,90,11.1
385,16/5/2023,9:24,3.841584,122.298338,90,11.1
386,16/5/2023,9:30,3.841585,122.3155075,90,11.1
387,16/5/2023,9:36,3.841586,122.332677,90,11.1
388,16/5/2023,9:42,3.841587,122.3498465,90,11.1
389,16/5/2023,9:48,3.841588,122.367016,90,11.1
390,16/5/2023,9:54,3.841589,122.3841855,90,11.1
391,16/5/2023,10:00,3.84159,122.401355,90,11.1
392,16/5/2023,10:06,3.841591,122.4185245,90,11.1
393,16/5/2023,10:12,3.841592,122.435694,90,11.1
394,16/5/2023,10:18,3.841593,122.4528635,90,11.1
395,16/5/2023,10:24,3.841594,122.470033,90,11.1
396,16/5/2023,10:30,3.841595,122.4872025,90,11.1
397,16/5/2023,10:36,3.841596,122.504372,90,11.1
398,16/5/2023,10:42,3.841597,122.5215415,90,11.1
399,16/5/2023,10:48,3.841598,122.538711,90,11.1
400,16/5/2023,10:54,3.841599,122.5558805,90,11.1
401,16/5/2023,11:00,3.8416,122.5647375,90,0
402,16/5/2023,11:06,3.8416,122.5647375,90,0
403,16/5/2023,11:12,3.8416,122.5647375,90,0
404,16/5/2023,11:18,3.8416,122.5647375,90,0
405,16/5/2023,11:24,3.8416,122.5647375,90,0
406,16/5/2023,11:30,3.8416,122.5647375,90,0
407,16/5/2023,11:36,3.8416,122.5647375,90,0
408,16/5/2023,11:42,3.8416,122.5647375,90,0
