Tanggal,Pukul,Latitude (?),Longitude(?),Heading(?),Kecepatan K1(knots)
14/5/2023,19:00,1.8046,119.9734,61,5
14/5/2023,19:06,1.80857,119.98073,61,5
14/5/2023,19:12,1.81254,119.98805,61,5
14/5/2023,19:18,1.81651,119.99538,61,5
14/5/2023,19:24,1.82048,120.0027,61,5
14/5/2023,19:30,1.82445,120.01003,61,5
14/5/2023,19:36,1.82842,120.01736,61,5
14/5/2023,19:42,1.83239,120.02468,61,5
14/5/2023,19:48,1.83636,120.03201,61,5
14/5/2023,19:54,1.84032,120.03933,61,5
14/5/2023,20:00,1.84429,120.04666,61,5
14/5/2023,20:06,1.84826,120.05398,61,5
14/5/2023,20:12,1.85223,120.06131,61,5
14/5/2023,20:18,1.8562,120.06864,61,5
14/5/2023,20:24,1.86017,120.07596,61,5
14/5/2023,20:30,1.86414,120.08329,61,5
14/5/2023,20:36,1.86811,120.09061,61,5
14/5/2023,20:42,1.87208,120.09794,61,5
14/5/2023,20:48,1.87605,120.10527,61,5
14/5/2023,20:54,1.88002,120.11259,61,5
14/5/2023,21:00,1.88399,120.11992,61,5
14/5/2023,21:06,1.88796,120.12724,61,5
14/5/2023,21:12,1.89193,120.13457,61,5
14/5/2023,21:18,1.8959,120.1419,61,5
14/5/2023,21:24,1.89987,120.14922,61,5
14/5/2023,21:30,1.90384,120.15655,61,5
14/5/2023,21:36,1.9078,120.16387,61,5
14/5/2023,21:42,1.91177,120.1712,61,5
14/5/2023,21:48,1.91574,120.17852,61,5
14/5/2023,21:54,1.91971,120.18585,61,5
14/5/2023,22:00,1.92368,120.19318,61,5
14/5/2023,22:06,1.92765,120.2005,61,5
14/5/2023,22:12,1.93162,120.20783,61,5
14/5/2023,22:18,1.93559,120.21515,61,5
14/5/2023,22:24,1.93956,120.22248,61,5
14/5/2023,22:30,1.94353,120.22981,61,5
14/5/2023,22:36,1.9475,120.23713,61,5
14/5/2023,22:42,1.95147,120.24446,61,5
14/5/2023,22:48,1.95544,120.25178,61,5
14/5/2023,22:54,1.95941,120.25911,61,5
14/5/2023,23:00,1.96338,120.26644,61,5
14/5/2023,23:06,1.96735,120.27376,61,5
14/5/2023,23:12,1.97131,120.28109,61,5
14/5/2023,23:18,1.97528,120.28841,61,5
14/5/2023,23:24,1.97925,120.29574,61,5
14/5/2023,23:30,1.98322,120.30306,61,5
14/5/2023,23:36,1.98719,120.31039,61,5
14/5/2023,23:42,1.99116,120.31772,61,5
14/5/2023,23:48,1.99513,120.32504,61,5
14/5/2023,23:54,1.9991,120.33237,61,5
15/5/2023,0:00,2.00307,120.33969,61,5
15/5/2023,0:06,2.00704,120.34702,61,5
15/5/2023,0:12,2.01101,120.35435,61,5
15/5/2023,0:18,2.01498,120.36167,61,5
15/5/2023,0:24,2.01895,120.369,61,5
15/5/2023,0:30,2.02292,120.37632,61,5
15/5/2023,0:36,2.02689,120.38365,61,5
15/5/2023,0:42,2.03086,120.39098,61,5
15/5/2023,0:48,2.03483,120.3983,61,5
15/5/2023,0:54,2.03879,120.40563,61,5
15/5/2023,1:00,2.04276,120.41295,61,5
15/5/2023,1:06,2.04673,120.42028,61,5
15/5/2023,1:12,2.0507,120.4276,61,5
15/5/2023,1:18,2.05467,120.43493,61,5
15/5/2023,1:24,2.05864,120.44226,61,5
15/5/2023,1:30,2.06261,120.44958,61,5
15/5/2023,1:36,2.06658,120.45691,61,5
15/5/2023,1:42,2.07055,120.46423,61,5
15/5/2023,1:48,2.07452,120.47156,61,5
15/5/2023,1:54,2.07849,120.47889,61,5
15/5/2023,2:00,2.08246,120.48621,61,5
15/5/2023,2:06,2.08643,120.49354,61,5
