No,Tanggal,Pukul,Latitude ,Longitude,Heading,Kecepatan K1(knots)
1,14/5/2023,19:00,-2.1478,118.4655,18,11.1
2,14/5/2023,19:06,-2.1311,118.4711,18,11.1
3,14/5/2023,19:12,-2.1144,118.4767,18,11.1
4,14/5/2023,19:18,-2.0977,118.4823,18,11.1
5,14/5/2023,19:24,-2.081,118.4879,18,11.1
6,14/5/2023,19:30,-2.0643,118.4935,18,11.1
7,14/5/2023,19:36,-2.0476,118.4991,18,11.1
8,14/5/2023,19:42,-2.0309,118.5047,18,11.1
9,14/5/2023,19:48,-2.0142,118.5103,18,11.1
10,14/5/2023,19:54,-1.9975,118.5159,18,11.1
11,14/5/2023,20:00,-1.9808,118.5215,18,11.1
12,14/5/2023,20:06,-1.9641,118.5271,18,11.1
13,14/5/2023,20:12,-1.9474,118.5327,18,11.1
14,14/5/2023,20:18,-1.9307,118.5383,18,11.1
15,14/5/2023,20:24,-1.914,118.5439,18,11.1
16,14/5/2023,20:30,-1.8973,118.5495,18,11.1
17,14/5/2023,20:36,-1.8806,118.5551,18,11.1
18,14/5/2023,20:42,-1.8639,118.5607,18,11.1
19,14/5/2023,20:48,-1.8472,118.5663,18,11.1
20,14/5/2023,20:54,-1.8305,118.5719,18,11.1
21,14/5/2023,21:00,-1.8138,118.5775,18,11.1
22,14/5/2023,21:06,-1.7971,118.5831,18,11.1
23,14/5/2023,21:12,-1.7804,118.5887,18,11.1
24,14/5/2023,21:18,-1.7637,118.5943,18,11.1
25,14/5/2023,21:24,-1.747,118.5999,18,11.1
26,14/5/2023,21:30,-1.7303,118.6055,18,11.1
27,14/5/2023,21:36,-1.7136,118.6111,18,11.1
28,14/5/2023,21:42,-1.6969,118.6167,18,11.1
29,14/5/2023,21:48,-1.6802,118.6223,18,11.1
30,14/5/2023,21:54,-1.6635,118.6279,18,11.1
31,14/5/2023,22:00,-1.6468,118.6335,18,11.1
32,14/5/2023,22:06,-1.6301,118.6391,18,11.1
33,14/5/2023,22:12,-1.6134,118.6447,18,11.1
34,14/5/2023,22:18,-1.5967,118.6503,18,11.1
35,14/5/2023,22:24,-1.58,118.6559,18,11.1
36,14/5/2023,22:30,-1.5633,118.6615,18,11.1
37,14/5/2023,22:36,-1.5466,118.6671,18,11.1
38,14/5/2023,22:42,-1.5299,118.6727,18,11.1
39,14/5/2023,22:48,-1.5132,118.6783,18,11.1
40,14/5/2023,22:54,-1.4965,118.6839,18,11.1
41,14/5/2023,23:00,-1.4798,118.6895,18,11.1
42,14/5/2023,23:06,-1.4631,118.6951,18,11.1
43,14/5/2023,23:12,-1.4464,118.7007,18,11.1
44,14/5/2023,23:18,-1.4297,118.7063,18,11.1
45,14/5/2023,23:24,-1.413,118.7119,18,11.1
46,14/5/2023,23:30,-1.3963,118.7175,18,11.1
47,14/5/2023,23:36,-1.3796,118.7231,18,11.1
48,14/5/2023,23:42,-1.3629,118.7287,18,11.1
49,14/5/2023,23:48,-1.3462,118.7343,18,11.1
50,14/5/2023,23:54,-1.3295,118.7399,18,11.1
51,15/5/2023,0:00,-1.3128,118.7455,18,11.1
52,15/5/2023,0:06,-1.2961,118.7511,18,11.1
53,15/5/2023,0:12,-1.2794,118.7567,18,11.1
54,15/5/2023,0:18,-1.2627,118.7623,18,11.1
55,15/5/2023,0:24,-1.246,118.7679,18,11.1
56,15/5/2023,0:30,-1.2293,118.7735,18,11.1
57,15/5/2023,0:36,-1.2126,118.7791,18,11.1
58,15/5/2023,0:42,-1.1959,118.7847,18,11.1
59,15/5/2023,0:48,-1.1792,118.7903,18,11.1
60,15/5/2023,0:54,-1.1625,118.7959,18,11.1
61,15/5/2023,1:00,-1.1458,118.8015,18,11.1
62,15/5/2023,1:06,-1.1291,118.8071,18,11.1
63,15/5/2023,1:12,-1.1124,118.8127,18,11.1
64,15/5/2023,1:18,-1.0957,118.8183,18,11.1
65,15/5/2023,1:24,-1.079,118.8239,18,11.1
66,15/5/2023,1:30,-1.0623,118.8295,18,11.1
67,15/5/2023,1:36,-1.0456,118.8351,18,11.1
68,15/5/2023,1:42,-1.0289,118.8407,18,11.1
69,15/5/2023,1:48,-1.0122,118.8463,18,11.1
70,15/5/2023,1:54,-0.9955,118.8519,18,11.1
71,15/5/2023,2:00,-0.9788,118.8575,18,11.1
72,15/5/2023,2:06,-0.9621,118.8631,18,11.1
73,15/5/2023,2:12,-0.9454,118.8687,18,11.1
74,15/5/2023,2:18,-0.9287,118.8743,18,11.1
75,15/5/2023,2:24,-0.912,118.8799,18,11.1
76,15/5/2023,2:30,-0.8953,118.8855,18,11.1
77,15/5/2023,2:36,-0.8786,118.8911,18,11.1
78,15/5/2023,2:42,-0.8619,118.8967,18,11.1
79,15/5/2023,2:48,-0.8452,118.9023,18,11.1
80,15/5/2023,2:54,-0.8285,118.9079,18,11.1
81,15/5/2023,3:00,-0.8118,118.9135,18,11.1
82,15/5/2023,3:06,-0.7951,118.9191,18,11.1
83,15/5/2023,3:12,-0.7784,118.9247,18,11.1
84,15/5/2023,3:18,-0.7617,118.9303,18,11.1
85,15/5/2023,3:24,-0.745,118.9359,18,11.1
86,15/5/2023,3:30,-0.7283,118.9415,18,11.1
87,15/5/2023,3:36,-0.7116,118.9471,18,11.1
88,15/5/2023,3:42,-0.6949,118.9527,18,11.1
89,15/5/2023,3:48,-0.6782,118.9583,18,11.1
90,15/5/2023,3:54,-0.6615,118.9639,18,11.1
91,15/5/2023,4:00,-0.6448,118.9695,18,11.1
92,15/5/2023,4:06,-0.6281,118.9751,18,11.1
93,15/5/2023,4:12,-0.6114,118.9807,18,11.1
94,15/5/2023,4:18,-0.5947,118.9863,18,11.1
95,15/5/2023,4:24,-0.578,118.9919,18,11.1
96,15/5/2023,4:30,-0.5613,118.9975,18,11.1
97,15/5/2023,4:36,-0.5446,119.0031,18,11.1
98,15/5/2023,4:42,-0.5279,119.0087,18,11.1
99,15/5/2023,4:48,-0.5112,119.0143,18,11.1
100,15/5/2023,4:54,-0.4945,119.0199,18,11.1
101,15/5/2023,5:00,-0.4778,119.0255,18,11.1
102,15/5/2023,5:06,-0.4611,119.0311,18,11.1
103,15/5/2023,5:12,-0.4444,119.0367,18,11.1
104,15/5/2023,5:18,-0.4277,119.0423,18,11.1
105,15/5/2023,5:24,-0.411,119.0479,18,11.1
106,15/5/2023,5:30,-0.3943,119.0535,18,11.1
107,15/5/2023,5:36,-0.3776,119.0591,18,11.1
108,15/5/2023,5:42,-0.3609,119.0647,18,11.1
109,15/5/2023,5:48,-0.3442,119.0703,18,11.1
110,15/5/2023,5:54,-0.3275,119.0759,18,11.1
111,15/5/2023,6:00,-0.3108,119.0815,18,11.1
112,15/5/2023,6:06,-0.2941,119.0871,18,11.1
113,15/5/2023,6:12,-0.2774,119.0927,18,11.1
