No,Tanggal,Pukul,Jarak(m),Delhead,delV,Vw,s(JarakPandang) 
1,14/5/2023,19:00,1819.101067,144,-6.1,,
2,14/5/2023,19:06,1796.026166,144,-6.1,,
3,14/5/2023,19:12,1773.147068,144,-6.1,,
4,14/5/2023,19:18,1750.462947,144,-6.1,,
5,14/5/2023,19:24,1727.972976,144,-6.1,,
6,14/5/2023,19:30,1705.676327,144,-6.1,,
7,14/5/2023,19:36,1683.572172,144,-6.1,,
8,14/5/2023,19:42,1661.659685,144,-6.1,,
9,14/5/2023,19:48,1639.938037,144,-6.1,,
10,14/5/2023,19:54,1618.406401,144,-6.1,,
11,14/5/2023,20:00,1597.063948,144,-6.1,,
12,14/5/2023,20:06,1575.909851,144,-6.1,,
13,14/5/2023,20:12,1554.94328,144,-6.1,,
14,14/5/2023,20:18,1534.163408,144,-6.1,,
15,14/5/2023,20:24,1513.569406,144,-6.1,,
16,14/5/2023,20:30,1493.160445,144,-6.1,,
17,14/5/2023,20:36,1472.935697,144,-6.1,,
18,14/5/2023,20:42,1452.894332,144,-6.1,,
19,14/5/2023,20:48,1433.035522,144,-6.1,,
20,14/5/2023,20:54,1413.358436,144,-6.1,,
21,14/5/2023,21:00,1393.862246,144,-6.1,,
22,14/5/2023,21:06,1374.546123,144,-6.1,,
23,14/5/2023,21:12,1355.409236,144,-6.1,,
24,14/5/2023,21:18,1336.450756,144,-6.1,,
25,14/5/2023,21:24,1317.669852,144,-6.1,,
26,14/5/2023,21:30,1299.065696,144,-6.1,,
27,14/5/2023,21:36,1280.637456,144,-6.1,,
28,14/5/2023,21:42,1262.384302,144,-6.1,,
29,14/5/2023,21:48,1244.305404,144,-6.1,,
30,14/5/2023,21:54,1226.399932,144,-6.1,,
31,14/5/2023,22:00,1208.667055,144,-6.1,,
32,14/5/2023,22:06,1191.105941,144,-6.1,,
33,14/5/2023,22:12,1173.715761,144,-6.1,,
34,14/5/2023,22:18,1156.495682,144,-6.1,,
35,14/5/2023,22:24,1139.444874,144,-6.1,,
36,14/5/2023,22:30,1122.562506,144,-6.1,,
37,14/5/2023,22:36,1105.847746,144,-6.1,,
38,14/5/2023,22:42,1089.299762,144,-6.1,,
39,14/5/2023,22:48,1072.917723,144,-6.1,,
40,14/5/2023,22:54,1056.700798,144,-6.1,,
41,14/5/2023,23:00,1040.648153,144,-6.1,,
42,14/5/2023,23:06,1024.758958,144,-6.1,,
43,14/5/2023,23:12,1009.03238,144,-6.1,,
44,14/5/2023,23:18,993.4675865,144,-6.1,,
45,14/5/2023,23:24,978.0637456,144,-6.1,,
46,14/5/2023,23:30,962.8200247,144,-6.1,,
47,14/5/2023,23:36,947.7355911,144,-6.1,,
48,14/5/2023,23:42,932.8096122,144,-6.1,,
49,14/5/2023,23:48,918.0412551,144,-6.1,,
50,14/5/2023,23:54,903.4296869,144,-6.1,,
51,15/5/2023,0:00,888.9740745,144,-6.1,,
52,15/5/2023,0:06,874.6735847,144,-6.1,,
53,15/5/2023,0:12,860.5273842,144,-6.1,,
54,15/5/2023,0:18,846.5346398,144,-6.1,,
55,15/5/2023,0:24,832.6945178,144,-6.1,,
56,15/5/2023,0:30,819.0061846,144,-6.1,,
57,15/5/2023,0:36,805.4688065,144,-6.1,,
58,15/5/2023,0:42,792.0815497,144,-6.1,,
59,15/5/2023,0:48,778.8435803,144,-6.1,,
60,15/5/2023,0:54,765.7540641,144,-6.1,,
61,15/5/2023,1:00,752.8121671,144,-6.1,,
62,15/5/2023,1:06,740.0170549,144,-6.1,,
63,15/5/2023,1:12,727.3678933,144,-6.1,,
64,15/5/2023,1:18,714.8638477,144,-6.1,,
65,15/5/2023,1:24,702.5040835,144,-6.1,,
66,15/5/2023,1:30,690.2877662,144,-6.1,,
67,15/5/2023,1:36,678.2140608,144,-6.1,,
68,15/5/2023,1:42,666.2821325,144,-6.1,,
69,15/5/2023,1:48,654.4911463,144,-6.1,,
70,15/5/2023,1:54,642.8402672,144,-6.1,,
71,15/5/2023,2:00,631.3286599,144,-6.1,,
72,15/5/2023,2:06,619.9554892,144,-6.1,,
73,15/5/2023,2:12,608.7199196,144,-6.1,,
74,15/5/2023,2:18,597.6211158,144,-6.1,,
75,15/5/2023,2:24,586.658242,144,-6.1,,
76,15/5/2023,2:30,575.8304626,144,-6.1,,
77,15/5/2023,2:36,565.1369419,144,-6.1,,
78,15/5/2023,2:42,554.576844,144,-6.1,,
79,15/5/2023,2:48,544.1493328,144,-6.1,,
80,15/5/2023,2:54,533.8535724,144,-6.1,,
81,15/5/2023,3:00,523.6887266,144,-6.1,,
82,15/5/2023,3:06,513.6539591,144,-6.1,,
83,15/5/2023,3:12,503.7484336,144,-6.1,,
84,15/5/2023,3:18,493.9713136,144,-6.1,,
85,15/5/2023,3:24,484.3217627,144,-6.1,,
86,15/5/2023,3:30,474.7989442,144,-6.1,,
87,15/5/2023,3:36,465.4020213,144,-6.1,,
88,15/5/2023,3:42,456.1301574,144,-6.1,,
89,15/5/2023,3:48,446.9825156,144,-6.1,,
90,15/5/2023,3:54,437.9582588,144,-6.1,,
91,15/5/2023,4:00,429.0565499,144,-6.1,,
92,15/5/2023,4:06,420.276552,144,-6.1,,
93,15/5/2023,4:12,411.6174276,144,-6.1,,
94,15/5/2023,4:18,403.0783395,144,-6.1,,
95,15/5/2023,4:24,394.6584504,144,-6.1,,
96,15/5/2023,4:30,386.3569226,144,-6.1,,
97,15/5/2023,4:36,378.1729187,144,-6.1,,
98,15/5/2023,4:42,370.105601,144,-6.1,,
99,15/5/2023,4:48,362.1541317,144,-6.1,,
100,15/5/2023,4:54,354.3176731,144,-6.1,,
101,15/5/2023,5:00,346.5953872,144,-6.1,,
102,15/5/2023,5:06,338.986436,144,-6.1,,
103,15/5/2023,5:12,331.4899816,144,-6.1,,
104,15/5/2023,5:18,324.1051857,144,-6.1,,
105,15/5/2023,5:24,316.8312102,144,-6.1,,
106,15/5/2023,5:30,309.6672168,144,-6.1,,
107,15/5/2023,5:36,302.612367,144,-6.1,,
108,15/5/2023,5:42,295.6658225,144,-6.1,,
109,15/5/2023,5:48,288.8267448,144,-6.1,,
110,15/5/2023,5:54,282.0942951,144,-6.1,,
111,15/5/2023,6:00,275.467635,144,-6.1,,
112,15/5/2023,6:06,268.9459255,144,-6.1,,
113,15/5/2023,6:12,262.528328,144,-6.1,,
114,15/5/2023,6:18,256.2140035,144,-6.1,,
115,15/5/2023,6:24,250.0021131,144,-6.1,,
116,15/5/2023,6:30,243.8918177,144,-6.1,,
117,15/5/2023,6:36,237.8822782,144,-6.1,,
118,15/5/2023,6:42,231.9726555,144,-6.1,,
119,15/5/2023,6:48,226.1621103,144,-6.1,,
120,15/5/2023,6:54,220.4498034,144,-6.1,,
121,15/5/2023,7:00,214.8348953,144,-6.1,,
122,15/5/2023,7:06,209.3165466,144,-6.1,,
123,15/5/2023,7:12,203.8939178,144,-6.1,,
124,15/5/2023,7:18,198.5661693,144,-6.1,,
125,15/5/2023,7:24,193.3324616,144,-6.1,,
126,15/5/2023,7:30,188.1919548,144,-6.1,,
127,15/5/2023,7:36,183.1438092,144,-6.1,,
128,15/5/2023,7:42,178.1871851,144,-6.1,,
129,15/5/2023,7:48,173.3212425,144,-6.1,,
130,15/5/2023,7:54,168.5451414,144,-6.1,,
131,15/5/2023,8:00,163.8580419,144,-6.1,,
132,15/5/2023,8:06,159.2591039,144,-6.1,,
133,15/5/2023,8:12,154.7474873,144,-6.1,,
134,15/5/2023,8:18,150.3223518,144,-6.1,,
135,15/5/2023,8:24,145.9828572,144,-6.1,,
136,15/5/2023,8:30,141.7281633,144,-6.1,,
137,15/5/2023,8:36,137.5574297,144,-6.1,,
138,15/5/2023,8:42,133.4698159,144,-6.1,,
139,15/5/2023,8:48,129.4644815,144,-6.1,,
140,15/5/2023,8:54,125.5405859,144,-6.1,,
141,15/5/2023,9:00,121.6972887,144,-6.1,,
142,15/5/2023,9:06,117.9337491,144,-6.1,,
143,15/5/2023,9:12,114.2491265,144,-6.1,,
144,15/5/2023,9:18,110.6425801,144,-6.1,,
145,15/5/2023,9:24,107.1132693,144,-6.1,,
146,15/5/2023,9:30,103.6603531,144,-6.1,,
147,15/5/2023,9:36,100.2829906,144,-6.1,,
148,15/5/2023,9:42,96.98034105,144,-6.1,,
149,15/5/2023,9:48,93.75156333,144,-6.1,,
150,15/5/2023,9:54,90.59581647,144,-6.1,,
151,15/5/2023,10:00,87.5122594,144,-6.1,,
152,15/5/2023,10:06,84.50005102,144,-6.1,,
153,15/5/2023,10:12,81.55835018,144,-6.1,,
154,15/5/2023,10:18,78.68631568,144,-6.1,,
155,15/5/2023,10:24,75.88310628,144,-6.1,,
156,15/5/2023,10:30,73.14788072,144,-6.1,,
157,15/5/2023,10:36,70.47979768,144,-6.1,,
158,15/5/2023,10:42,67.8780158,144,-6.1,,
159,15/5/2023,10:48,65.3416937,144,-6.1,,
160,15/5/2023,10:54,62.86998994,144,-6.1,,
161,15/5/2023,11:00,60.46206306,144,-6.1,,
162,15/5/2023,11:06,58.11707156,144,-6.1,,
163,15/5/2023,11:12,55.83417392,144,-6.1,,
164,15/5/2023,11:18,53.61252856,144,-6.1,,
165,15/5/2023,11:24,51.45129389,144,-6.1,,
166,15/5/2023,11:30,49.34962829,144,-6.1,,
167,15/5/2023,11:36,47.30669011,144,-6.1,,
168,15/5/2023,11:42,45.32163767,144,-6.1,,
169,15/5/2023,11:48,43.39362925,144,-6.1,,
170,15/5/2023,11:54,41.52182313,144,-6.1,,
171,15/5/2023,12:00,39.70537757,144,-6.1,,
172,15/5/2023,12:06,37.94345078,144,-6.1,,
173,15/5/2023,12:12,36.23520097,144,-6.1,,
174,15/5/2023,12:18,34.57978634,144,-6.1,,
175,15/5/2023,12:24,32.97636505,144,-6.1,,
176,15/5/2023,12:30,31.42409529,144,-6.1,,
177,15/5/2023,12:36,29.92213518,144,-6.1,,
178,15/5/2023,12:42,28.46964289,144,-6.1,,
179,15/5/2023,12:48,27.06577654,144,-6.1,,
180,15/5/2023,12:54,25.70969427,144,-6.1,,
181,15/5/2023,13:00,24.40055422,144,-6.1,,
182,15/5/2023,13:06,23.13751453,144,-6.1,,
183,15/5/2023,13:12,21.91973333,144,-6.1,,
184,15/5/2023,13:18,20.74636879,144,-6.1,,
185,15/5/2023,13:24,19.61657907,144,-6.1,,
186,15/5/2023,13:30,18.52952236,144,-6.1,,
187,15/5/2023,13:36,17.48435689,144,-6.1,,
188,15/5/2023,13:42,16.4802409,144,-6.1,,
189,15/5/2023,13:48,15.51633266,144,-6.1,,
190,15/5/2023,13:54,14.59179051,144,-6.1,,
191,15/5/2023,14:00,13.70577282,144,-6.1,,
192,15/5/2023,14:06,12.85743803,144,-6.1,,
193,15/5/2023,14:12,12.04594465,144,-6.1,,
194,15/5/2023,14:18,11.27045127,144,-6.1,,
195,15/5/2023,14:24,10.53011656,144,-6.1,,
196,15/5/2023,14:30,9.824099328,144,-6.1,,
197,15/5/2023,14:36,9.151558471,144,-6.1,,
198,15/5/2023,14:42,8.511653047,144,-6.1,,
199,15/5/2023,14:48,7.903542271,144,-6.1,,
200,15/5/2023,14:54,7.326385542,144,-6.1,,
201,15/5/2023,15:00,7.248657558,271,-6.1,,
